timestamp,equity,cash,fg,zone
2020-01-01 00:00:00+00:00,10000.0,10000.0,37,fear
2020-01-01 04:00:00+00:00,10000.0,7500.0,37,fear
2020-01-01 08:00:00+00:00,10009.597665847667,7500.0,37,fear
2020-01-01 12:00:00+00:00,10035.319410319411,7500.0,37,fear
2020-01-01 16:00:00+00:00,10031.096437346438,7500.0,37,fear
2020-01-01 20:00:00+00:00,10010.173525798526,7500.0,37,fear
2020-01-02 00:00:00+00:00,9978.117321867321,7500.0,39,fear
2020-01-02 04:00:00+00:00,9981.188574938575,7500.0,39,fear
2020-01-02 08:00:00+00:00,9986.371314496315,7500.0,39,fear
2020-01-02 12:00:00+00:00,9987.523034398035,9987.523034398035,39,fear
2020-01-02 16:00:00+00:00,9987.523034398035,9987.523034398035,39,fear
2020-01-02 20:00:00+00:00,9987.523034398035,9987.523034398035,39,fear
2020-01-03 00:00:00+00:00,9987.523034398035,9987.523034398035,38,fear
2020-01-03 04:00:00+00:00,9987.523034398035,9987.523034398035,38,fear
2020-01-03 08:00:00+00:00,9987.523034398035,9987.523034398035,38,fear
2020-01-03 12:00:00+00:00,9987.523034398035,9987.523034398035,38,fear
2020-01-03 16:00:00+00:00,9987.523034398035,7490.642275798526,38,fear
2020-01-03 20:00:00+00:00,10003.609014264657,7490.642275798526,38,fear
2020-01-04 00:00:00+00:00,9984.717340235251,4994.462940739713,38,fear
2020-01-04 04:00:00+00:00,10000.484954921198,4994.462940739713,38,fear
2020-01-04 08:00:00+00:00,9993.897261017697,4994.462940739713,38,fear
2020-01-04 12:00:00+00:00,9978.414543790615,4994.462940739713,38,fear
2020-01-04 16:00:00+00:00,9992.410584128427,4994.462940739713,38,fear
2020-01-04 20:00:00+00:00,10007.951687716193,4994.462940739713,38,fear
2020-01-05 00:00:00+00:00,10086.100522149567,4994.462940739713,39,fear
2020-01-05 04:00:00+00:00,10079.27454932559,4994.462940739713,39,fear
2020-01-05 08:00:00+00:00,10047.446696653136,4994.462940739713,39,fear
2020-01-05 12:00:00+00:00,10104.09879635091,4994.462940739713,39,fear
2020-01-05 16:00:00+00:00,10109.114207498767,4994.462940739713,39,fear
2020-01-05 20:00:00+00:00,10031.415551030208,4994.462940739713,39,fear
2020-01-06 00:00:00+00:00,10170.482196460754,4994.462940739713,41,fear
2020-01-06 04:00:00+00:00,10147.655582130947,4994.462940739713,41,fear
2020-01-06 08:00:00+00:00,10210.127005461014,4994.462940739713,41,fear
